0, 2200, -300, 1300
2.2883055210113525, 769, 232, 1205, 0
2.2962710857391357, 769, 232, 1205, 0
2.3133111000061035, 769, 232, 1205, 0
2.337268590927124, 773, 243, 1220, 0
2.347280979156494, 773, 243, 1220, 0
2.364271640777588, 773, 243, 1220, 0
2.381275177001953, 773, 243, 1220, 0
2.3982701301574707, 776, 244, 1198, 0
2.4153518676757812, 776, 244, 1198, 0
2.4323713779449463, 775, 243, 1185, 0
2.449418067932129, 775, 243, 1185, 0
2.4664196968078613, 775, 243, 1185, 0
2.4833641052246094, 775, 243, 1185, 0
2.500364065170288, 775, 243, 1185, 0
2.5173540115356445, 775, 243, 1185, 0
2.534362316131592, 773, 240, 1192, 0
2.559352159500122, 719, 268, 1151, 174
2.568416118621826, 719, 268, 1151, 174
2.585395336151123, 719, 268, 1151, 174
2.6083571910858154, 723, 267, 1207, 183
2.619352340698242, 723, 267, 1207, 183
2.6364121437072754, 725, 270, 1219, 186
2.6533608436584473, 725, 270, 1219, 186
2.678417682647705, 727, 273, 1223, 184
2.686357259750366, 757, 207, 1233, 186
2.703352689743042, 757, 207, 1233, 186
2.720421075820923, 757, 207, 1233, 186
2.737391948699951, 756, 209, 1239, 198
2.7543587684631348, 756, 209, 1239, 198
2.7713589668273926, 759, 209, 1168, 166
2.7883591651916504, 759, 209, 1168, 166
2.8173580169677734, 761, 209, 1185, 170
2.8234095573425293, 763, 213, 1192, 168
2.839355945587158, 763, 213, 1192, 168
2.856393337249756, 763, 213, 1192, 168
2.8734209537506104, 763, 213, 1192, 168
2.890390634536743, 763, 213, 1192, 168
2.9073665142059326, 763, 213, 1192, 168
2.9243946075439453, 765, 202, 1179, 166
2.9463953971862793, 765, 202, 1179, 166
2.9583580493927, 762, 199, 1195, 174
2.9753577709198, 762, 199, 1195, 174
2.9923696517944336, 762, 215, 1229, 181
3.0213582515716553, 762, 215, 1229, 181
3.0283966064453125, 682, 378, 1265, 195
3.0443644523620605, 682, 378, 1265, 195
3.0683512687683105, 701, 226, 1304, 212
3.0783896446228027, 701, 226, 1304, 212
3.0954253673553467, 641, 363, 1349, 230
3.1124427318573, 641, 363, 1349, 230
3.1353883743286133, 659, 508, 1392, 263
3.146381139755249, 659, 508, 1392, 263
3.1633613109588623, 660, 540, 1445, 317
3.179419994354248, 660, 540, 1445, 317
3.1964962482452393, 660, 560, 1478, 399
3.214380979537964, 660, 560, 1478, 399
3.231354236602783, 660, 560, 1478, 399
3.2483572959899902, 660, 560, 1478, 399
3.271354913711548, 672, 628, 1515, 476
3.282353401184082, 672, 628, 1515, 476
3.299354314804077, 677, 640, 1526, 495
3.3163516521453857, 677, 640, 1526, 495
3.3403544425964355, 684, 663, 1532, 488
3.350353240966797, 684, 663, 1532, 488
3.3673927783966064, 688, 678, 1533, 473
3.384387731552124, 688, 678, 1533, 473
3.401374578475952, 688, 678, 1533, 473
3.418402671813965, 688, 678, 1533, 473
3.4353842735290527, 688, 678, 1533, 473
3.452357530593872, 688, 678, 1533, 473
3.4763569831848145, 705, 710, 1552, 387
3.486388683319092, 705, 710, 1552, 387
3.5033929347991943, 705, 710, 1552, 387
3.520352363586426, 705, 710, 1552, 387
